doc_id,text
1,"Drug A is commonly used to treat hypertension. It works by relaxing blood vessels and improving blood flow."
2,"Drug A may cause side effects such as dizziness headache and fatigue in some patients."
3,"Drug B is prescribed for type 2 diabetes. It helps lower blood sugar levels by increasing insulin sensitivity."
4,"Common side effects of Drug B include nausea weight gain and mild gastrointestinal discomfort."
5,"Drug C is an antibiotic used to treat bacterial infections such as pneumonia and bronchitis."
6,"Drug C may cause allergic reactions in some patients including rash and itching."
7,"Drug D is used to manage chronic pain. It acts on the central nervous system to reduce pain signals."
8,"Side effects of Drug D include drowsiness confusion and potential dependency with long-term use."
9,"Drug E is used for treating depression. It helps balance neurotransmitters in the brain."
10,"Patients taking Drug E may experience insomnia dry mouth and changes in appetite."
11,"Drug F is used to treat asthma. It helps open airways and improve breathing."
12,"Side effects of Drug F may include tremors nervousness and increased heart rate."
13,"Drug G is prescribed for high cholesterol. It reduces LDL cholesterol levels in the blood."
14,"Drug G may cause muscle pain and liver enzyme changes in rare cases."
15,"Drug H is used to treat migraines. It works by narrowing blood vessels in the brain."
16,"Common side effects of Drug H include nausea dizziness and sensitivity to light."
17,"Drug I is an antiviral medication used to treat influenza. It reduces the severity and duration of symptoms."
18,"Side effects of Drug I include headache nausea and fatigue."
19,"Drug J is used to treat anxiety disorders. It enhances calming signals in the brain."
20,"Patients using Drug J may experience drowsiness dizziness and dependency risks."
21,"Drug K is used for treating arthritis by reducing inflammation in joints."
22,"Side effects of Drug K include stomach pain and increased risk of bleeding."
23,"Drug L is used to treat insomnia. It helps patients fall asleep faster."
24,"Drug L may cause next-day drowsiness and impaired concentration."
25,"Drug M is used in cancer therapy to slow the growth of tumor cells."
26,"Side effects of Drug M include fatigue hair loss and nausea."
27,"Drug N is used to treat allergic conditions such as hay fever."
28,"Drug N may cause drowsiness and dry mouth."
29,"Drug O is used to treat epilepsy by stabilizing electrical activity in the brain."
30,"Side effects of Drug O include dizziness fatigue and coordination problems."
31,"Drug P is used to treat bacterial skin infections. It works by stopping bacterial growth."
32,"Drug P may cause mild irritation redness and itching at the application site."
33,"Drug Q is prescribed for treating heart failure. It improves heart function and blood circulation."
34,"Side effects of Drug Q include dizziness low blood pressure and fatigue."
35,"Drug R is used to manage thyroid disorders. It helps regulate hormone levels."
36,"Drug R may cause weight changes mood swings and headaches."
37,"Drug S is used for treating osteoporosis. It strengthens bones and reduces fracture risk."
38,"Side effects of Drug S include joint pain nausea and muscle cramps."
39,"Drug T is prescribed to treat acid reflux. It reduces stomach acid production."
40,"Drug T may cause headache diarrhea and abdominal discomfort."
41,"Drug U is used to treat fungal infections. It disrupts fungal cell membranes."
42,"Side effects of Drug U include nausea headache and skin rash."
43,"Drug V is used for managing high blood pressure. It relaxes blood vessels."
44,"Drug V may cause dizziness fatigue and dry cough."
45,"Drug W is prescribed for treating ADHD. It improves focus and attention."
46,"Side effects of Drug W include insomnia decreased appetite and nervousness."
47,"Drug X is used to treat chronic kidney disease complications."
48,"Drug X may cause fatigue swelling and electrolyte imbalance."
49,"Drug Y is used to treat Parkinson disease. It helps improve motor control."
50,"Side effects of Drug Y include nausea dizziness and hallucinations."
51,"Drug Z is used for treating glaucoma by reducing eye pressure."
52,"Drug Z may cause blurred vision eye irritation and dryness."
53,"Drug AA is used to treat anemia by increasing red blood cell production."
54,"Side effects of Drug AA include headache nausea and high blood pressure."
55,"Drug AB is prescribed for treating autoimmune diseases by suppressing immune response."
56,"Drug AB may cause infections fatigue and liver toxicity."
57,"Drug AC is used to treat severe acne. It reduces oil production in the skin."
58,"Side effects of Drug AC include dry skin irritation and sensitivity to sunlight."
59,"Drug AD is used to treat obesity. It reduces appetite and increases metabolism."
60,"Drug AD may cause insomnia increased heart rate and anxiety."
61,"Drug AE is used to treat bipolar disorder by stabilizing mood."
62,"Side effects of Drug AE include weight gain tremors and fatigue."
63,"Drug AF is prescribed for treating gout by reducing uric acid levels."
64,"Drug AF may cause nausea rash and joint pain."
65,"Drug AG is used to treat chronic obstructive pulmonary disease. It improves airflow."
66,"Side effects of Drug AG include cough throat irritation and dizziness."
67,"Drug AH is used to treat bacterial eye infections."
68,"Drug AH may cause temporary burning sensation and redness."
69,"Drug AI is used for treating viral infections. It inhibits viral replication."
70,"Side effects of Drug AI include fatigue headache and nausea."
71,"Drug AJ is used to treat hormonal imbalances."
72,"Drug AJ may cause mood changes weight gain and fatigue."
73,"Drug AK is used for treating ulcers. It protects the stomach lining."
74,"Side effects of Drug AK include constipation nausea and headache."
75,"Drug AL is prescribed for treating chronic fatigue syndrome."
76,"Drug AL may cause dizziness nausea and sleep disturbances."
77,"Drug AM is used to treat multiple sclerosis by reducing nerve damage."
78,"Side effects of Drug AM include fatigue muscle weakness and dizziness."
79,"Drug AN is used to treat blood clotting disorders."
80,"Drug AN may cause bleeding bruising and fatigue."
81,"Drug AO is used to treat liver diseases by improving liver function."
82,"Side effects of Drug AO include nausea fatigue and abdominal pain."
83,"Drug AP is prescribed for treating migraines and severe headaches."
84,"Drug AP may cause dizziness nausea and sensitivity to light."
85,"Drug AQ is used to treat respiratory infections."
86,"Drug AQ may cause cough fever and fatigue."
87,"Drug AR is used for treating skin inflammation conditions."
88,"Side effects of Drug AR include redness itching and dryness."
89,"Drug AS is used to treat metabolic disorders."
90,"Drug AS may cause fatigue nausea and weight changes."
91,"Drug AT is used for treating anxiety and panic attacks."
92,"Drug AT may cause drowsiness dizziness and confusion."
93,"Drug AU is prescribed for treating chronic sinus infections."
94,"Drug AU may cause headache nasal irritation and fatigue."
95,"Drug AV is used to treat cardiovascular diseases."
96,"Drug AV may cause chest discomfort dizziness and fatigue."
97,"Drug AW is used to treat digestive disorders."
98,"Drug AW may cause nausea bloating and abdominal pain."
99,"Drug AX is used for treating immune system deficiencies."
100,"Drug AX may cause fatigue infections and weakness."
